,cons,adj,CENT,SAML,SAF,SDP,GR�NA,V�NST,SFP,KD,Piratp.,IP,FKP,�land
Helsingfors,22,0,25947,93392,40583,55874,67806,35435,24645,6407,5119,1242,1485,0
Nyland,35,0,59749,124754,93411,86462,52034,22698,53232,13750,5893,2131,1189,0
Egentliga Finland,17,0,42763,55355,50813,40835,22875,27001,13111,6319,2008,963,664,0
Satakunta,8,0,25247,18377,30600,27631,3335,11730,426,3525,388,436,127,0
Aland,1,0,0,0,0,0,0,0,0,0,0,0,0,12187
Tavastland,14,0,36020,43544,39537,44737,10350,12182,0,12412,1658,742,489,0
Birkaland,19,0,46189,54648,49551,54220,28537,21780,0,13553,3037,2289,1130,0
Sydostra Finland,17,0,61794,38947,51707,54604,15664,7336,728,11056,1085,1806,286,0
Savolax-Karelen,16,0,70573,24980,42696,34629,14599,12750,0,13578,1269,705,639,0
Vasa,16,0,67333,29195,38964,29024,6136,7238,50777,14076,933,1461,200,0
Mellersta Finland,10,0,40729,19776,29142,28710,13599,10145,0,6656,1264,379,639,0
Uleaborg,18,0,106581,27089,40429,22433,15524,29580,1413,2690,1614,1038,396,0
Lappland,7,0,43293,10155,16621,10943,2643,13827,470,1112,818,446,285,0
